user_id,login_time,failed_attempts,new_ip,new_device,device,location,vpn_used,proxy_used,login_successful,account_age_days,suspicious_activity,is_risky
53995,01-01-2024 01:05,3,1,0,Windows,UK,0,1,0,703,0,0
41757,01-01-2024 01:06,7,1,0,Windows,UK,0,0,1,1430,0,0
10692,01-01-2024 01:07,8,1,1,Mac,Australia,0,0,0,2138,0,0
46758,01-01-2024 01:08,2,1,0,Linux,Australia,1,0,1,1907,0,0
73409,01-01-2024 01:09,3,0,1,Mobile,USA,1,1,1,2252,0,0
72211,01-01-2024 01:10,0,1,1,Linux,Germany,0,1,1,3649,0,0
66697,01-01-2024 01:11,2,1,1,Tablet,UK,1,1,1,817,1,0
38065,01-01-2024 01:12,9,0,1,Windows,Australia,0,0,1,2111,1,0
93093,01-01-2024 01:13,4,1,0,Mobile,USA,0,1,1,208,0,0
33606,01-01-2024 01:14,7,1,1,Linux,UK,0,0,0,2238,0,0
12534,01-01-2024 01:15,0,1,1,Linux,Canada,0,0,1,2854,0,0
95663,01-01-2024 01:16,0,1,0,Tablet,India,0,0,1,2147,0,1
41397,01-01-2024 01:17,2,1,1,Tablet,UK,1,1,1,2777,0,0
92387,01-01-2024 01:18,8,0,0,Mobile,USA,0,1,1,1799,0,1
2016,01-01-2024 01:19,8,1,0,Mobile,USA,0,0,0,2493,0,0
90789,01-01-2024 01:20,0,1,0,Mac,Germany,0,1,0,1528,0,0
56591,01-01-2024 01:21,3,0,0,Windows,UK,0,0,1,1625,0,0
90812,01-01-2024 01:22,7,0,0,Mac,India,1,0,1,1622,0,0
24247,01-01-2024 01:23,1,0,1,Mac,India,1,0,1,1858,0,0
25300,01-01-2024 01:24,3,1,0,Linux,Canada,0,1,1,2753,0,0
75065,01-01-2024 01:25,6,1,1,Linux,India,1,1,1,3237,0,0
83798,01-01-2024 01:26,6,0,0,Mobile,Canada,0,1,0,2133,1,1
10268,01-01-2024 01:27,4,1,0,Linux,USA,0,0,0,2304,0,0
87807,01-01-2024 01:28,6,0,1,Linux,Germany,0,0,1,2846,0,0
13185,01-01-2024 01:29,5,0,0,Windows,Germany,1,0,1,1433,1,0
64704,01-01-2024 01:30,1,1,0,Linux,UK,0,0,1,3220,0,0
87779,01-01-2024 01:31,8,0,0,Tablet,India,0,1,1,1071,0,0
40099,01-01-2024 01:32,4,1,0,Mobile,Germany,0,1,1,3456,0,0
9571,01-01-2024 01:33,1,0,1,Windows,USA,1,1,0,1063,1,1
39044,01-01-2024 01:34,5,1,1,Mac,India,0,0,1,520,0,0
52214,01-01-2024 01:35,9,0,0,Tablet,Australia,1,0,1,1671,0,0
62228,01-01-2024 01:36,4,1,0,Tablet,USA,1,1,1,1777,0,0
49984,01-01-2024 01:37,1,0,1,Mac,Australia,1,1,1,1363,0,0
41774,01-01-2024 01:38,9,1,0,Tablet,USA,0,1,1,2609,0,0
3568,01-01-2024 01:39,9,1,1,Linux,USA,0,1,1,620,0,0
63592,01-01-2024 01:40,6,1,0,Mobile,Germany,1,0,0,432,0,0
68563,01-01-2024 01:41,9,1,1,Tablet,UK,1,1,1,3581,0,0
3695,01-01-2024 01:42,1,1,0,Mac,Australia,1,0,0,3499,0,1
49190,01-01-2024 01:43,6,1,1,Windows,Australia,0,1,1,3445,0,0
6258,01-01-2024 01:44,5,0,0,Linux,UK,1,1,0,512,0,0
88538,01-01-2024 01:45,3,1,1,Linux,India,0,0,1,643,0,0
40504,01-01-2024 01:46,3,1,1,Linux,India,0,1,1,3367,0,1
34159,01-01-2024 01:47,5,1,1,Tablet,Germany,0,0,1,95,0,0
14986,01-01-2024 01:48,8,0,1,Mac,UK,1,0,1,1868,0,1
62858,01-01-2024 01:49,9,0,0,Windows,Australia,0,1,0,1742,1,0
13666,01-01-2024 01:50,5,0,0,Windows,Germany,0,1,1,1555,1,0
39660,01-01-2024 01:51,5,1,0,Linux,India,1,1,0,579,0,0
4561,01-01-2024 01:52,0,0,1,Linux,Australia,0,0,1,2610,0,0
27854,01-01-2024 01:53,4,0,0,Tablet,Germany,0,1,1,276,0,0
65505,01-01-2024 01:54,0,1,0,Windows,Australia,1,1,1,2331,0,0
53251,01-01-2024 01:55,8,1,0,Mobile,Germany,0,1,1,2038,0,0
23662,01-01-2024 01:56,9,1,1,Mac,India,0,0,0,1660,0,0
9392,01-01-2024 01:57,3,0,0,Windows,UK,0,1,1,325,0,0
31535,01-01-2024 01:58,1,0,1,Mac,Australia,1,1,1,1131,0,0
79603,01-01-2024 01:59,8,0,0,Mobile,USA,1,1,1,79,0,0
53256,01-01-2024 02:00,5,0,1,Windows,Germany,1,0,1,728,0,0
90135,01-01-2024 02:01,9,0,0,Mac,USA,0,0,1,3350,0,0
36222,01-01-2024 02:02,2,0,1,Linux,USA,0,1,1,243,0,0
78373,01-01-2024 02:03,1,0,1,Windows,Germany,1,0,1,3122,0,0
80575,01-01-2024 02:04,5,0,0,Mobile,USA,0,0,1,2885,1,1
97354,01-01-2024 02:05,9,0,0,Mac,USA,0,0,1,2717,0,1
85651,01-01-2024 02:06,5,0,0,Windows,India,0,1,1,2532,1,0
64335,01-01-2024 02:07,8,1,0,Mobile,India,1,1,1,6,0,0
11965,01-01-2024 02:08,4,0,0,Linux,India,0,1,1,2955,0,0
25538,01-01-2024 02:09,8,1,0,Tablet,Australia,0,0,1,1286,0,0
71592,01-01-2024 02:10,4,1,0,Linux,India,1,0,1,42,0,0
99018,01-01-2024 02:11,1,0,0,Windows,Australia,0,1,1,1621,0,0
9110,01-01-2024 02:12,0,0,1,Windows,Germany,0,1,1,1547,0,0
80309,01-01-2024 02:13,8,0,1,Tablet,Australia,1,0,0,1159,0,0
28266,01-01-2024 02:14,9,0,0,Tablet,India,0,0,0,1557,0,0
53992,01-01-2024 02:15,6,0,0,Mac,Canada,0,0,1,2585,0,0
83948,01-01-2024 02:16,2,1,1,Tablet,Canada,0,1,1,2299,0,0
99806,01-01-2024 02:17,5,1,0,Tablet,Australia,0,1,1,3454,0,0
7910,01-01-2024 02:18,9,1,0,Tablet,USA,1,1,1,760,0,0
91982,01-01-2024 02:19,3,1,0,Linux,India,0,0,1,2562,0,0
1206,01-01-2024 02:20,8,1,0,Mac,Germany,1,0,0,2428,0,0
88054,01-01-2024 02:21,1,1,1,Tablet,USA,0,1,1,3482,0,0
88897,01-01-2024 02:22,3,0,1,Mac,India,1,1,1,3503,0,0
24419,01-01-2024 02:23,0,1,0,Tablet,Australia,1,0,1,3166,0,0
51636,01-01-2024 02:24,6,0,0,Mac,USA,0,1,0,731,0,0
51015,01-01-2024 02:25,3,1,0,Mac,Germany,0,0,1,828,0,0
55268,01-01-2024 02:26,4,1,0,Tablet,UK,1,0,1,929,0,0
88939,01-01-2024 02:27,0,1,0,Tablet,India,0,0,1,2166,0,0
19141,01-01-2024 02:28,1,1,0,Mac,Germany,0,0,1,1412,1,0
81356,01-01-2024 02:29,3,0,0,Windows,Australia,0,0,1,323,0,1
72910,01-01-2024 02:30,1,0,0,Mac,Canada,0,1,1,858,0,0
57044,01-01-2024 02:31,0,1,1,Linux,UK,1,1,0,1800,0,0
68214,01-01-2024 02:32,9,0,0,Mobile,USA,1,0,1,3036,0,0
34827,01-01-2024 02:33,0,1,1,Mac,Germany,1,1,1,3442,0,0
56820,01-01-2024 02:34,5,1,0,Mac,USA,1,1,1,3625,1,0
63623,01-01-2024 02:35,1,0,0,Windows,USA,1,0,1,3551,0,0
82734,01-01-2024 02:36,2,1,0,Tablet,Germany,1,0,1,2477,0,0
76450,01-01-2024 02:37,4,1,1,Windows,Canada,1,0,1,3554,0,0
94426,01-01-2024 02:38,2,1,1,Windows,USA,0,1,1,174,0,0
23299,01-01-2024 02:39,5,0,1,Windows,Canada,1,1,1,557,0,0
44585,01-01-2024 02:40,6,0,0,Windows,Canada,1,0,1,1256,0,1
65044,01-01-2024 02:41,9,0,0,Windows,Canada,0,0,1,1524,1,0
43557,01-01-2024 02:42,5,0,1,Mac,Australia,0,1,0,3516,0,0
50080,01-01-2024 02:43,1,1,1,Mobile,Australia,1,1,1,708,0,0
3693,01-01-2024 02:44,8,0,0,Windows,India,1,1,1,649,0,0
96003,01-01-2024 02:45,1,1,1,Windows,UK,1,1,1,881,0,0
96259,01-01-2024 02:46,5,0,0,Windows,UK,1,0,1,467,0,0
70163,01-01-2024 02:47,8,1,1,Tablet,UK,0,1,1,2079,0,0
26939,01-01-2024 02:48,8,0,0,Tablet,Australia,1,0,1,958,0,0
49925,01-01-2024 02:49,1,0,1,Mac,Canada,0,0,1,121,0,0
43941,01-01-2024 02:50,8,0,0,Linux,India,1,1,1,418,0,0
22834,01-01-2024 02:51,7,0,0,Mac,UK,0,0,1,3186,0,1
19047,01-01-2024 02:52,6,0,0,Windows,India,1,0,1,3115,1,0
27105,01-01-2024 02:53,7,0,1,Tablet,UK,1,0,1,1157,0,0
76766,01-01-2024 02:54,9,1,0,Tablet,Canada,0,0,1,1381,0,0
16707,01-01-2024 02:55,7,0,0,Linux,UK,1,0,0,2476,0,0
22976,01-01-2024 02:56,0,0,0,Linux,USA,0,0,0,1102,0,0
45262,01-01-2024 02:57,8,1,0,Linux,UK,0,0,1,3458,0,0
24776,01-01-2024 02:58,5,0,0,Windows,Canada,1,1,0,376,0,1
31080,01-01-2024 02:59,0,1,0,Tablet,Germany,0,1,1,2884,0,0
67842,01-01-2024 03:00,0,0,0,Mobile,Germany,1,1,1,2199,0,0
62373,01-01-2024 03:01,6,1,1,Mobile,Germany,0,1,1,2665,0,0
7776,01-01-2024 03:02,9,0,0,Linux,Germany,0,0,1,2717,0,0
93787,01-01-2024 03:03,1,1,0,Windows,UK,0,0,1,3067,0,0
56016,01-01-2024 03:04,5,1,0,Tablet,USA,0,0,0,729,0,0
10474,01-01-2024 03:05,4,1,0,Tablet,Canada,1,1,1,424,0,0
59053,01-01-2024 03:06,4,0,1,Tablet,India,1,1,0,294,0,0
22959,01-01-2024 03:07,9,1,0,Linux,Germany,1,1,1,2000,0,0
6530,01-01-2024 03:08,5,1,1,Mobile,Germany,0,1,1,2151,0,1
95856,01-01-2024 03:09,7,1,0,Mobile,Canada,0,0,1,1292,0,0
4748,01-01-2024 03:10,4,0,0,Windows,UK,1,0,1,1127,0,0
98504,01-01-2024 03:11,7,0,1,Mac,Australia,0,0,1,2844,0,0
99098,01-01-2024 03:12,4,0,1,Windows,India,1,0,1,954,0,0
14545,01-01-2024 03:13,9,0,0,Mobile,Canada,0,0,1,10,0,0
67199,01-01-2024 03:14,5,1,0,Mobile,USA,1,0,1,939,0,0
35766,01-01-2024 03:15,7,0,0,Tablet,UK,1,1,1,2865,0,0
74530,01-01-2024 03:16,1,0,1,Mac,USA,0,1,1,2172,0,0
94557,01-01-2024 03:17,6,0,1,Tablet,USA,0,1,1,2649,1,0
62087,01-01-2024 03:18,2,1,1,Mac,Canada,0,0,1,1219,0,0
96839,01-01-2024 03:19,8,0,1,Linux,USA,0,1,1,802,0,0
69840,01-01-2024 03:20,9,1,0,Tablet,Germany,1,1,1,365,0,0
55384,01-01-2024 03:21,6,0,0,Windows,Australia,0,0,1,3519,0,0
52005,01-01-2024 03:22,2,0,0,Windows,USA,0,0,0,873,0,1
47576,01-01-2024 03:23,7,1,1,Linux,India,1,0,1,3320,0,0
40353,01-01-2024 03:24,9,0,0,Mac,USA,1,0,1,371,0,0
63003,01-01-2024 03:25,1,0,1,Mac,India,0,1,1,1875,0,0
84211,01-01-2024 03:26,9,0,0,Tablet,Germany,1,1,1,2481,0,0
53733,01-01-2024 03:27,7,0,1,Windows,Canada,0,0,1,1524,0,0
66318,01-01-2024 03:28,6,0,1,Linux,UK,1,0,1,2207,0,1
90474,01-01-2024 03:29,4,0,1,Mobile,UK,0,0,0,699,1,0
24664,01-01-2024 03:30,3,1,1,Linux,UK,0,0,1,2902,0,0
68172,01-01-2024 03:31,9,0,0,Tablet,UK,1,0,1,1199,0,0
86616,01-01-2024 03:32,9,0,0,Mac,UK,0,1,1,410,0,0
94264,01-01-2024 03:33,0,0,0,Windows,Australia,1,0,1,3544,0,0
27736,01-01-2024 03:34,3,1,0,Tablet,Germany,1,0,1,1979,0,1
95209,01-01-2024 03:35,5,0,1,Windows,UK,0,1,1,810,0,0
1854,01-01-2024 03:36,5,1,0,Windows,UK,1,0,0,566,1,0
91084,01-01-2024 03:37,1,0,0,Mac,Australia,0,0,1,2173,0,0
39623,01-01-2024 03:38,8,0,1,Mobile,Australia,1,1,0,1000,0,0
8392,01-01-2024 03:39,0,0,0,Mac,UK,0,1,1,939,0,1
56680,01-01-2024 03:40,3,1,0,Mac,Australia,1,0,0,1315,0,0
47717,01-01-2024 03:41,3,1,1,Tablet,Australia,0,1,1,2111,0,0
88092,01-01-2024 03:42,1,0,0,Mac,Australia,1,1,1,1725,0,0
51859,01-01-2024 03:43,7,1,1,Windows,UK,0,1,1,2104,0,0
27309,01-01-2024 03:44,1,0,1,Linux,India,0,0,0,1778,0,0
88455,01-01-2024 03:45,1,0,1,Mac,USA,1,1,0,2016,0,0
64734,01-01-2024 03:46,1,1,0,Mobile,Australia,0,1,0,1963,0,0
71467,01-01-2024 03:47,0,1,1,Windows,USA,0,1,1,1306,0,0
53662,01-01-2024 03:48,4,1,1,Windows,USA,1,0,1,1575,0,0
99506,01-01-2024 03:49,3,1,1,Linux,Australia,0,0,1,2741,0,0
13688,01-01-2024 03:50,1,0,1,Mac,USA,0,0,1,1676,0,0
26342,01-01-2024 03:51,0,0,1,Windows,UK,1,1,0,1274,0,0
38157,01-01-2024 03:52,0,0,1,Mobile,UK,0,1,1,2815,0,0
68863,01-01-2024 03:53,1,1,0,Windows,USA,0,0,0,1970,0,0
53083,01-01-2024 03:54,0,0,0,Tablet,Australia,0,0,0,299,0,0
66733,01-01-2024 03:55,8,1,0,Linux,UK,0,0,1,1847,0,0
90045,01-01-2024 03:56,1,1,0,Windows,Australia,1,0,1,2342,0,0
35698,01-01-2024 03:57,2,1,0,Linux,India,1,1,1,1877,0,0
81623,01-01-2024 03:58,8,0,1,Tablet,USA,0,0,1,2490,0,0
23671,01-01-2024 03:59,4,0,0,Windows,Germany,1,0,1,1639,0,0
26184,01-01-2024 04:00,7,1,1,Mobile,Germany,1,1,0,1481,0,0
94384,01-01-2024 04:01,6,1,1,Windows,UK,0,0,1,2159,0,0
43107,01-01-2024 04:02,5,0,1,Windows,Germany,1,0,1,908,1,0
87202,01-01-2024 04:03,1,1,0,Mobile,Germany,0,0,0,235,1,0
52663,01-01-2024 04:04,3,1,0,Mac,USA,0,0,1,2578,0,0
16708,01-01-2024 04:05,8,1,0,Tablet,UK,1,0,1,1684,1,0
92906,01-01-2024 04:06,6,1,1,Mac,USA,0,1,0,3471,0,0
50811,01-01-2024 04:07,2,1,0,Mobile,USA,0,1,1,3245,0,0
3811,01-01-2024 04:08,5,1,1,Tablet,India,0,0,0,1761,0,0
57250,01-01-2024 04:09,7,1,0,Linux,UK,0,1,1,2464,0,0
73082,01-01-2024 04:10,7,1,0,Windows,UK,1,0,1,1518,1,0
35754,01-01-2024 04:11,7,0,1,Windows,Australia,0,0,1,2412,0,0
96742,01-01-2024 04:12,7,1,0,Linux,Australia,1,1,1,748,0,0
12411,01-01-2024 04:13,9,1,1,Mac,UK,0,1,1,1915,0,0
3911,01-01-2024 04:14,5,1,1,Mobile,Australia,0,1,1,629,0,0
68270,01-01-2024 04:15,9,0,0,Linux,India,1,1,1,825,1,0
84763,01-01-2024 04:16,2,1,1,Linux,Australia,1,0,1,2824,0,1
9680,01-01-2024 04:17,8,1,1,Mac,UK,1,0,1,1644,0,0
85896,01-01-2024 04:18,2,0,1,Tablet,Canada,1,0,1,882,0,0
84879,01-01-2024 04:19,3,0,0,Tablet,UK,1,1,1,2564,0,0
72295,01-01-2024 04:20,9,0,1,Windows,Australia,1,0,1,2809,0,0
89614,01-01-2024 04:21,0,1,1,Windows,UK,0,0,0,2829,0,0
12111,01-01-2024 04:22,1,1,0,Windows,USA,1,0,0,3167,0,0
38504,01-01-2024 04:23,5,0,1,Windows,Australia,1,1,1,942,0,0
2802,01-01-2024 04:24,0,1,0,Windows,UK,1,0,1,227,0,0
9155,01-01-2024 04:25,8,0,1,Linux,India,1,1,0,2801,0,0
74656,01-01-2024 04:26,7,1,0,Mac,Germany,0,0,0,95,0,1
40384,01-01-2024 04:27,1,1,1,Windows,Canada,1,1,0,2213,0,0
48254,01-01-2024 04:28,1,0,1,Windows,Canada,0,1,1,3352,1,0
22918,01-01-2024 04:29,7,0,1,Mac,USA,0,0,1,3207,1,0
86981,01-01-2024 04:30,7,0,1,Mac,Canada,0,1,0,3549,0,0
61713,01-01-2024 04:31,0,1,1,Tablet,USA,1,0,1,723,0,0
31306,01-01-2024 04:32,4,1,1,Tablet,USA,0,1,0,828,0,0
17646,01-01-2024 04:33,1,0,0,Tablet,India,1,1,0,2011,0,0
47843,01-01-2024 04:34,0,0,0,Tablet,Germany,0,1,0,1630,0,0
97601,01-01-2024 04:35,2,1,0,Tablet,India,1,1,1,3000,0,0
91735,01-01-2024 04:36,2,1,1,Linux,USA,1,0,1,342,0,0
17371,01-01-2024 04:37,9,1,0,Mac,UK,0,1,0,2325,0,0
78371,01-01-2024 04:38,8,1,1,Mac,Australia,1,1,1,1314,0,0
3049,01-01-2024 04:39,9,0,0,Windows,USA,0,0,1,406,0,0
32616,01-01-2024 04:40,0,0,1,Mac,USA,0,0,1,1000,1,0
21932,01-01-2024 04:41,1,0,1,Mobile,India,1,1,1,1777,0,0
30855,01-01-2024 04:42,8,0,0,Tablet,Canada,1,0,1,2729,0,1
62434,01-01-2024 04:43,4,1,1,Mobile,Germany,0,0,1,2578,0,0
73694,01-01-2024 04:44,8,0,1,Mobile,Germany,1,1,1,3474,0,0
44016,01-01-2024 04:45,5,1,1,Windows,India,1,1,1,1468,0,0
8400,01-01-2024 04:46,9,0,0,Mobile,India,1,0,0,2096,0,0
43642,01-01-2024 04:47,9,1,0,Linux,Germany,1,1,1,1563,0,0
16151,01-01-2024 04:48,2,0,1,Mobile,Australia,1,1,1,253,0,0
52407,01-01-2024 04:49,7,1,0,Tablet,India,1,0,1,525,0,0
67690,01-01-2024 04:50,8,0,0,Windows,India,0,0,1,2359,0,0
5499,01-01-2024 04:51,1,0,1,Linux,USA,0,0,1,3182,0,0
7295,01-01-2024 04:52,8,1,1,Linux,Australia,1,1,1,395,0,0
60040,01-01-2024 04:53,3,0,0,Windows,USA,1,0,1,2499,0,0
13183,01-01-2024 04:54,7,1,0,Mobile,Germany,1,0,0,2942,0,0
30299,01-01-2024 04:55,4,0,0,Mac,Australia,1,0,1,2560,0,0
13874,01-01-2024 04:56,5,1,1,Tablet,USA,1,0,1,546,0,0
33711,01-01-2024 04:57,3,1,0,Mobile,UK,0,1,0,3013,0,0
6539,01-01-2024 04:58,4,1,1,Tablet,USA,0,0,1,3484,0,0
54351,01-01-2024 04:59,0,0,0,Tablet,UK,1,0,1,3014,0,0
62267,01-01-2024 05:00,2,1,0,Mobile,Australia,1,1,1,668,0,0
49354,01-01-2024 05:01,3,1,1,Mobile,Canada,0,0,1,2869,0,0
3557,01-01-2024 05:02,0,0,0,Linux,India,1,1,1,3024,0,0
39360,01-01-2024 05:03,2,0,1,Windows,UK,0,0,1,94,0,0
83018,01-01-2024 05:04,3,1,0,Tablet,Australia,1,1,0,3110,1,0
3200,01-01-2024 05:05,8,1,1,Mobile,Canada,0,0,1,1576,0,0
69497,01-01-2024 05:06,2,0,0,Linux,Germany,0,1,1,3128,1,0
47975,01-01-2024 05:07,2,1,0,Windows,Germany,0,0,1,1070,0,0
22357,01-01-2024 05:08,3,0,0,Mobile,Canada,0,0,0,3432,0,1
78505,01-01-2024 05:09,8,1,0,Mac,UK,0,0,1,3061,1,0
3869,01-01-2024 05:10,8,0,0,Linux,UK,0,0,1,137,0,0
62135,01-01-2024 05:11,0,1,0,Linux,UK,1,0,1,3462,0,0
51108,01-01-2024 05:12,7,1,0,Tablet,India,1,1,1,2945,0,0
95179,01-01-2024 05:13,9,1,0,Tablet,Germany,1,0,0,2080,0,0
91272,01-01-2024 05:14,0,1,1,Linux,Canada,0,0,1,68,1,0
39467,01-01-2024 05:15,1,0,0,Mobile,Australia,0,1,1,1535,0,1
24328,01-01-2024 05:16,9,0,0,Windows,USA,1,1,1,45,0,0
92412,01-01-2024 05:17,4,1,1,Mac,Germany,1,0,1,2903,0,0
87831,01-01-2024 05:18,5,1,0,Mobile,Canada,1,0,1,2747,0,0
4987,01-01-2024 05:19,1,0,0,Mac,Australia,1,1,1,2646,0,1
59871,01-01-2024 05:20,9,0,0,Linux,UK,0,1,1,2803,0,0
23399,01-01-2024 05:21,4,1,1,Tablet,Canada,0,1,1,373,0,0
47214,01-01-2024 05:22,2,1,1,Mobile,UK,1,0,1,3554,0,0
87416,01-01-2024 05:23,6,1,1,Mac,Germany,0,1,1,3095,0,0
71271,01-01-2024 05:24,0,0,1,Tablet,Canada,0,1,0,1166,0,0
45064,01-01-2024 05:25,4,1,0,Mobile,Canada,0,0,0,3471,0,0
71091,01-01-2024 05:26,2,1,1,Windows,Germany,0,1,1,807,0,0
41818,01-01-2024 05:27,1,1,1,Mac,Germany,1,1,1,1277,0,0
46525,01-01-2024 05:28,2,0,0,Mobile,Germany,1,0,1,43,0,1
20830,01-01-2024 05:29,9,1,0,Tablet,Canada,1,1,0,1185,0,0
18429,01-01-2024 05:30,3,0,1,Linux,Canada,0,1,0,861,0,0
7893,01-01-2024 05:31,1,0,0,Windows,UK,0,0,1,1396,0,0
80909,01-01-2024 05:32,1,1,0,Tablet,UK,0,1,1,3405,1,0
48333,01-01-2024 05:33,2,1,0,Mac,Australia,1,1,1,1040,0,0
4436,01-01-2024 05:34,1,0,0,Mac,UK,1,0,1,2699,1,0
75290,01-01-2024 05:35,5,1,0,Mobile,India,0,1,1,3525,0,0
77213,01-01-2024 05:36,1,1,0,Mac,UK,0,0,1,2348,0,0
6895,01-01-2024 05:37,0,1,0,Windows,USA,0,1,1,2243,0,0
20738,01-01-2024 05:38,7,0,0,Mobile,Australia,1,0,1,2827,0,0
31746,01-01-2024 05:39,9,0,0,Mobile,UK,0,0,1,538,0,0
50377,01-01-2024 05:40,3,1,0,Tablet,Germany,0,1,1,2950,0,0
49404,01-01-2024 05:41,1,0,1,Mac,Germany,0,0,1,2010,0,0
